,movie,year,imdb,metascore,votes,us_grossMillions,timeMin,genre,certificate
287,Guardians of the Galaxy Vol. 2,2017,7.6,67.0,677003,389.81,136,"Action, Adventure, Comedy            ",PG-13
288,The Sound of Music,1965,8.1,63.0,234396,163.21,172,"Biography, Drama, Family            ",G
289,Wonder,2017,7.9,66.0,164845,132.42,113,"Drama, Family            ",PG
290,Lost in Translation,2003,7.7,89.0,454798,44.59,102,"Comedy, Drama            ",R
291,The Butterfly Effect,2004,7.6,30.0,489876,57.94,113,"Drama, Sci-Fi, Thriller            ",R
292,Training Day,2001,7.7,69.0,436309,76.63,122,"Action, Crime, Drama            ",R
293,The Birds,1963,7.6,90.0,190240,11.4,119,"Drama, Horror, Mystery            ",PG-13
294,Tangled,2010,7.7,71.0,452801,200.82,100,"Animation, Adventure, Comedy            ",PG
295,Rush,2013,8.1,74.0,479311,26.95,123,"Action, Biography, Drama            ",R
296,X-Men: First Class,2011,7.7,65.0,692532,146.41,131,"Action, Adventure, Sci-Fi            ",PG-13
297,When Harry Met Sally...,1989,7.7,76.0,221145,92.82,95,"Comedy, Drama, Romance            ",R
298,Star Wars: Episode VI - Return of the Jedi,1983,8.3,58.0,1048883,309.13,131,"Action, Adventure, Fantasy            ",PG
299,Little Miss Sunshine,2006,7.8,80.0,481190,59.89,101,"Comedy, Drama            ",R
300,Blazing Saddles,1974,7.7,73.0,140340,119.5,93,"Comedy, Western            ",R
301,3 Idiots,2009,8.4,67.0,399299,6.53,170,"Comedy, Drama            ",PG-13
302,Finding Nemo,2003,8.2,90.0,1039429,380.84,100,"Animation, Adventure, Comedy            ",G
303,Black Hawk Down,2001,7.7,74.0,397025,108.64,144,"Action, Drama, History            ",R
304,The Fighter,2010,7.8,79.0,368415,93.62,116,"Action, Biography, Drama            ",R
305,Once Upon a Time in the West,1968,8.5,80.0,328939,5.32,165,Western            ,PG-13
306,The Blues Brothers,1980,7.9,60.0,200317,57.23,133,"Action, Adventure, Comedy            ",R
307,Gone with the Wind,1939,8.2,97.0,315672,198.68,238,"Drama, Romance, War            ",Passed
308,Another Round,2020,7.7,79.0,156183,,117,"Comedy, Drama            ",Not Rated
309,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,87.0,629093,42.34,119,"Comedy, Drama            ",R
310,12 Years a Slave,2013,8.1,96.0,699274,56.67,134,"Biography, Drama, History            ",R
311,"Lock, Stock and Two Smoking Barrels",1998,8.2,66.0,581449,3.9,107,"Action, Comedy, Crime            ",R
312,Room,2015,8.1,86.0,420006,14.68,118,"Drama, Thriller            ",R
313,Brokeback Mountain,2005,7.7,87.0,357499,83.04,134,"Drama, Romance            ",R
314,Mary Poppins,1964,7.8,88.0,173286,102.27,139,"Comedy, Family, Fantasy            ",G
315,Before Sunrise,1995,8.1,77.0,307806,5.54,101,"Drama, Romance            ",R
316,X-Men: Days of Future Past,2014,7.9,75.0,711951,233.92,132,"Action, Adventure, Sci-Fi            ",PG-13
317,Match Point,2005,7.6,72.0,218899,23.09,124,"Drama, Romance, Thriller            ",R
318,L.A. Confidential,1997,8.2,90.0,582392,64.62,138,"Crime, Drama, Mystery            ",R
319,Slumdog Millionaire,2008,8.0,84.0,844310,141.32,120,"Crime, Drama, Romance            ",R
320,The Machinist,2004,7.7,61.0,390811,1.08,101,"Drama, Thriller            ",R
321,The Lives of Others,2006,8.4,89.0,389336,11.29,137,"Drama, Mystery, Thriller            ",R
322,The Godfather Part III,1990,7.6,60.0,396929,66.67,162,"Crime, Drama            ",R
323,Mystic River,2003,7.9,84.0,456690,90.14,138,"Crime, Drama, Mystery            ",R
324,The Last of the Mohicans,1992,7.7,76.0,171120,75.51,112,"Action, Adventure, Drama            ",R
325,Manchester by the Sea,2016,7.8,96.0,282114,47.7,137,Drama            ,R
326,This Is Spinal Tap,1984,7.9,92.0,140301,4.74,82,"Comedy, Music            ",R
327,Annie Hall,1977,8.0,92.0,266069,39.2,93,"Comedy, Romance            ",PG
328,A Star Is Born,2018,7.6,88.0,383061,215.29,136,"Drama, Music, Romance            ",R
329,District 9,2009,7.9,81.0,681462,115.65,112,"Action, Sci-Fi, Thriller            ",R
330,Lawrence of Arabia,1962,8.3,100.0,293828,44.82,218,"Adventure, Biography, Drama            ",Approved
331,How to Train Your Dragon,2010,8.1,75.0,737611,217.58,98,"Animation, Action, Adventure            ",PG
332,Unforgiven,1992,8.2,85.0,411898,101.16,130,"Drama, Western            ",R
333,Soul,2020,8.0,83.0,327029,,100,"Animation, Adventure, Comedy            ",PG
334,Arsenic and Old Lace,1944,7.9,,71373,,118,"Comedy, Crime, Thriller            ",Not Rated
335,Incendies,2010,8.3,80.0,177688,6.86,131,"Drama, Mystery            ",R
336,American Gangster,2007,7.8,76.0,427024,130.16,157,"Biography, Crime, Drama            ",R
337,Clerks,1994,7.7,70.0,223711,3.15,92,Comedy            ,R
338,I Saw the Devil,2010,7.8,67.0,131225,0.13,144,"Action, Crime, Thriller            ",Not Rated
339,The Wild Bunch,1969,7.9,97.0,85133,12.06,135,"Action, Adventure, Western            ",R
340,The Royal Tenenbaums,2001,7.6,76.0,293241,52.36,110,"Comedy, Drama            ",R
341,Creed,2015,7.6,82.0,274365,109.77,133,"Action, Drama, Sport            ",PG-13
342,Big Fish,2003,8.0,58.0,441753,66.26,125,"Adventure, Drama, Fantasy            ",PG-13
343,Remember the Titans,2000,7.8,48.0,216375,115.65,113,"Biography, Drama, Sport            ",PG
344,Barry Lyndon,1975,8.1,89.0,168319,,185,"Adventure, Drama, War            ",PG
345,Kung Fu Panda,2008,7.6,74.0,469378,215.43,92,"Animation, Action, Adventure            ",PG
346,Captain America: The Winter Soldier,2014,7.8,70.0,842037,259.77,136,"Action, Adventure, Sci-Fi            ",PG-13
347,Back to the Future Part II,1989,7.8,57.0,531924,118.5,108,"Adventure, Comedy, Sci-Fi            ",PG
348,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,97.0,490289,0.28,95,"Comedy, War            ",PG
349,Grave of the Fireflies,1988,8.5,94.0,276292,,89,"Animation, Drama, War            ",Not Rated
350,Rear Window,1954,8.5,100.0,490643,36.76,112,"Mystery, Thriller            ",PG
351,Fantastic Mr. Fox,2009,7.9,83.0,232283,21.0,87,"Animation, Adventure, Comedy            ",PG
352,The Sting,1973,8.3,83.0,262371,159.6,129,"Comedy, Crime, Drama            ",PG
353,Moneyball,2011,7.6,87.0,423189,75.61,133,"Biography, Drama, Sport            ",PG-13
354,Taken,2008,7.8,51.0,602849,145.0,90,"Action, Crime, Thriller            ",PG-13
355,The Blind Side,2009,7.6,53.0,332575,255.96,129,"Biography, Drama, Sport            ",PG-13
356,The Fugitive,1993,7.8,87.0,295887,183.88,130,"Action, Crime, Drama            ",PG-13
357,Hell or High Water,2016,7.6,88.0,231399,26.86,102,"Crime, Drama, Thriller            ",R
358,Aladdin,1992,8.0,86.0,418746,217.35,90,"Animation, Adventure, Comedy            ",G
359,12 Monkeys,1995,8.0,74.0,617685,57.14,129,"Mystery, Sci-Fi, Thriller            ",R
360,Groundhog Day,1993,8.1,72.0,629710,70.91,101,"Comedy, Drama, Fantasy            ",PG
361,Beauty and the Beast,1991,8.0,95.0,454415,218.97,84,"Animation, Family, Fantasy            ",G
362,Toy Story 4,2019,7.7,84.0,250011,434.04,100,"Animation, Adventure, Comedy            ",G
363,A Few Good Men,1992,7.7,62.0,265068,141.34,138,"Drama, Thriller            ",R
364,Argo,2012,7.7,86.0,614528,136.03,120,"Biography, Drama, Thriller            ",R
365,This Is England,2006,7.7,86.0,122894,0.33,101,"Crime, Drama            ",Not Rated
366,Sound of Metal,2019,7.7,82.0,127648,,120,"Drama, Music            ",R
367,Minority Report,2002,7.7,80.0,551439,132.07,145,"Action, Crime, Mystery            ",PG-13
368,The Pursuit of Happyness,2006,8.0,64.0,510785,163.57,117,"Biography, Drama            ",PG-13
369,Gravity,2013,7.7,96.0,824456,274.09,91,"Drama, Sci-Fi, Thriller            ",PG-13
370,The Deer Hunter,1978,8.1,86.0,339437,48.98,183,"Drama, War            ",R
371,Marriage Story,2019,7.9,94.0,307590,2.0,137,"Drama, Romance            ",R
372,Some Like It Hot,1959,8.2,98.0,267453,25.0,121,"Comedy, Music, Romance            ",Passed
373,Chinatown,1974,8.2,92.0,326725,8.49,130,"Drama, Mystery, Thriller            ",R
374,Capernaum,2018,8.4,75.0,89503,1.66,126,Drama            ,R
375,Metropolis,1927,8.3,98.0,174695,1.24,153,"Drama, Sci-Fi            ",Not Rated
376,Who Framed Roger Rabbit,1988,7.7,83.0,202137,156.45,104,"Animation, Adventure, Comedy            ",PG
377,Dallas Buyers Club,2013,7.9,78.0,488175,27.3,117,"Biography, Drama            ",R
378,The Bourne Identity,2002,7.9,68.0,547025,121.66,119,"Action, Mystery, Thriller            ",PG-13
379,Gattaca,1997,7.8,64.0,305106,12.34,106,"Drama, Sci-Fi, Thriller            ",PG-13
380,Midnight in Paris,2011,7.7,81.0,424264,56.82,94,"Comedy, Fantasy, Romance            ",PG-13
381,Flipped,2010,7.7,45.0,90597,1.75,90,"Comedy, Drama, Romance            ",PG
382,North by Northwest,1959,8.3,98.0,327949,13.28,136,"Action, Adventure, Mystery            ",Approved
383,The Fault in Our Stars,2014,7.7,69.0,377267,124.87,126,"Drama, Romance            ",PG-13
384,The King's Speech,2010,8.0,88.0,680324,138.8,118,"Biography, Drama, History            ",R
385,Captain Fantastic,2016,7.8,72.0,219412,5.88,118,"Comedy, Drama            ",R
386,True Grit,2010,7.6,80.0,339736,171.24,110,"Drama, Western            ",PG-13
387,Monty Python and the Holy Grail,1975,8.2,91.0,541026,1.23,91,"Adventure, Comedy, Fantasy            ",PG
388,Close Encounters of the Third Kind,1977,7.6,90.0,202705,132.09,138,"Drama, Sci-Fi            ",PG
389,The Skin I Live In,2011,7.6,70.0,153657,3.19,120,"Drama, Horror, Mystery            ",R
390,Cast Away,2000,7.8,73.0,590693,233.63,143,"Adventure, Drama, Romance            ",PG-13
391,To Kill a Mockingbird,1962,8.3,88.0,316691,,129,"Crime, Drama            ",Approved
392,What's Eating Gilbert Grape,1993,7.7,73.0,238217,9.17,118,Drama            ,PG-13
393,Rain Man,1988,8.0,65.0,514149,178.8,133,Drama            ,R
394,The Thin Red Line,1998,7.6,78.0,188502,36.4,170,"Drama, History, War            ",R
395,Toy Story 3,2010,8.3,92.0,833008,415.0,103,"Animation, Adventure, Comedy            ",G
396,Vertigo,1958,8.3,100.0,401985,3.2,128,"Mystery, Romance, Thriller            ",PG
397,The Graduate,1967,8.0,83.0,273765,104.95,106,"Comedy, Drama, Romance            ",PG
398,Apollo 13,1995,7.7,77.0,295812,173.84,140,"Adventure, Drama, History            ",PG
399,Magnolia,1999,8.0,77.0,313230,22.46,188,Drama            ,R
400,Citizen Kane,1941,8.3,100.0,441734,1.59,119,"Drama, Mystery            ",PG
401,Eastern Promises,2007,7.6,82.0,244133,17.11,100,"Crime, Drama, Thriller            ",R
402,Scent of a Woman,1992,8.0,59.0,296744,63.9,156,Drama            ,R
403,Indiana Jones and the Last Crusade,1989,8.2,65.0,752263,197.17,127,"Action, Adventure            ",PG-13
404,Moon,2009,7.8,67.0,359708,5.01,97,"Drama, Mystery, Sci-Fi            ",R
405,Moonrise Kingdom,2012,7.8,84.0,350111,45.51,94,"Comedy, Drama, Romance            ",PG-13
406,Princess Mononoke,1997,8.4,76.0,393377,2.38,134,"Animation, Action, Adventure            ",PG-13
407,The Untouchables,1987,7.9,79.0,310277,76.27,119,"Crime, Drama, Thriller            ",R
408,In the Mood for Love,2000,8.1,85.0,150046,2.73,98,"Drama, Romance            ",PG
409,The Invisible Guest,2016,8.0,,175949,,106,"Crime, Drama, Mystery            ",TV-MA
410,Goldfinger,1964,7.7,87.0,191407,51.08,110,"Action, Adventure, Thriller            ",PG
411,Mulan,1998,7.6,71.0,288341,120.62,88,"Animation, Adventure, Comedy            ",G
412,Seven Samurai,1954,8.6,98.0,345382,0.27,207,"Action, Drama            ",Not Rated
413,The Secret in Their Eyes,2009,8.2,80.0,210018,6.39,129,"Drama, Mystery, Romance            ",R
414,Sense and Sensibility,1995,7.7,84.0,116907,43.18,136,"Drama, Romance            ",PG
415,First Blood,1982,7.7,61.0,253316,47.21,93,"Action, Adventure, Thriller            ",R
416,Road to Perdition,2002,7.7,72.0,268860,104.45,117,"Crime, Drama, Thriller            ",R
417,The Lego Movie,2014,7.7,83.0,355599,257.76,100,"Animation, Action, Adventure            ",PG
418,Kill Bill: Vol. 2,2004,8.0,83.0,754331,66.21,137,"Action, Crime, Thriller            ",R
419,Crash,2004,7.8,66.0,437066,54.58,112,"Crime, Drama, Thriller            ",R
420,Million Dollar Baby,2004,8.1,86.0,686443,100.49,132,"Drama, Sport            ",PG-13
421,Star Trek Into Darkness,2013,7.7,72.0,484009,228.78,132,"Action, Adventure, Sci-Fi            ",PG-13
422,Dial M for Murder,1954,8.2,75.0,176359,0.01,105,"Crime, Thriller            ",PG
423,The Great Escape,1963,8.2,86.0,244842,12.1,172,"Adventure, Drama, History            ",Approved
424,Cool Hand Luke,1967,8.1,92.0,177762,16.22,127,"Crime, Drama            ",GP
425,The Iron Giant,1999,8.1,85.0,197841,23.16,86,"Animation, Action, Adventure            ",PG
426,The Trial of the Chicago 7,2020,7.7,76.0,177119,,129,"Drama, History, Thriller            ",R
427,Life of Pi,2012,7.9,79.0,629403,124.99,127,"Adventure, Drama, Fantasy            ",PG
428,Wreck-It Ralph,2012,7.7,72.0,422696,189.42,101,"Animation, Adventure, Comedy            ",PG
429,Dances with Wolves,1990,8.0,72.0,265835,184.21,181,"Adventure, Drama, Western            ",PG-13
430,Raging Bull,1980,8.2,89.0,353894,23.38,129,"Biography, Drama, Sport            ",R
431,Blood Diamond,2006,8.0,64.0,549332,57.37,143,"Adventure, Drama, Thriller            ",R
432,Pride,2014,7.8,79.0,57766,,119,"Biography, Comedy, Drama            ",R
433,The Last Samurai,2003,7.8,55.0,441311,111.11,154,"Action, Drama            ",R
434,Gran Torino,2008,8.1,72.0,774365,148.1,116,Drama            ,R
435,Perfect Blue,1997,8.0,67.0,77108,0.78,81,"Animation, Crime, Drama            ",R
436,K.G.F: Chapter 2,2022,8.4,,130701,,168,"Action, Crime, Drama            ",Not Rated
437,Dark Waters,2019,7.6,73.0,89019,,126,"Biography, Drama, History            ",PG-13
438,3:10 to Yuma,2007,7.7,76.0,312508,53.61,122,"Action, Crime, Drama            ",R
439,Wild Tales,2014,8.1,77.0,198560,3.11,122,"Comedy, Drama, Thriller            ",R
440,Big Hero 6,2014,7.8,74.0,460943,222.53,102,"Animation, Action, Adventure            ",PG
441,Toy Story 2,1999,7.9,88.0,580047,245.85,92,"Animation, Adventure, Comedy            ",G
442,Philadelphia,1993,7.7,66.0,242800,77.32,125,Drama            ,PG-13
443,Paddington 2,2017,7.8,88.0,79152,40.44,103,"Adventure, Comedy, Family            ",PG
444,Lethal Weapon,1987,7.6,68.0,259615,65.21,109,"Action, Crime, Thriller            ",R
445,The Boat,1981,8.4,86.0,251241,11.49,149,"Drama, War            ",R
446,Dark City,1998,7.6,66.0,200853,14.38,100,"Fantasy, Mystery, Sci-Fi            ",R
447,Straight Outta Compton,2015,7.8,72.0,202765,161.2,147,"Biography, Drama, History            ",R
448,A Man Called Ove,2015,7.7,70.0,55993,3.36,116,"Comedy, Drama, Romance            ",PG-13
449,Serenity,2005,7.8,74.0,296747,25.51,119,"Action, Adventure, Sci-Fi            ",PG-13
450,Ed Wood,1994,7.8,70.0,177072,5.89,127,"Biography, Comedy, Drama            ",R
451,Bridge of Spies,2015,7.6,81.0,311599,72.31,142,"Drama, History, Thriller            ",PG-13
452,The Caine Mutiny,1954,7.7,63.0,28034,21.75,124,"Drama, War            ",Not Rated
453,The Last Picture Show,1971,8.0,93.0,48779,29.13,118,"Drama, Romance            ",R
454,Cinema Paradiso,1988,8.5,80.0,260744,11.99,155,"Drama, Romance            ",R
455,Empire of the Sun,1987,7.7,62.0,126465,22.24,153,"Drama, History, War            ",PG
456,Brazil,1985,7.9,84.0,201440,9.93,132,"Drama, Sci-Fi            ",R
457,Carlito's Way,1993,7.9,65.0,219124,36.95,144,"Crime, Drama, Thriller            ",R
458,Glengarry Glen Ross,1992,7.7,82.0,106199,10.73,100,"Crime, Drama, Mystery            ",R
459,Boyz n the Hood,1991,7.8,76.0,141567,57.5,112,"Crime, Drama            ",R
460,Dog Day Afternoon,1975,8.0,86.0,257620,50.0,125,"Biography, Crime, Drama            ",R
461,Dogville,2003,8.0,60.0,149547,1.53,178,"Crime, Drama            ",R
462,My Neighbor Totoro,1988,8.1,86.0,338301,1.11,86,"Animation, Comedy, Family            ",G
463,Lion,2016,8.0,69.0,236728,51.74,118,"Biography, Drama            ",PG-13
464,A Bronx Tale,1993,7.8,80.0,142865,17.27,121,"Crime, Drama            ",R
465,The Holy Mountain,1973,7.8,76.0,43599,0.06,114,"Adventure, Drama, Fantasy            ",R
466,The Color Purple,1985,7.7,78.0,87518,98.47,154,Drama            ,PG-13
467,Being John Malkovich,1999,7.8,90.0,336182,22.86,113,"Comedy, Drama, Fantasy            ",R
468,Hunt for the Wilderpeople,2016,7.8,81.0,131137,5.2,101,"Adventure, Comedy, Drama            ",PG-13
469,Naked,1993,7.7,85.0,39963,1.77,131,"Comedy, Drama            ",Not Rated
470,The Mitchells vs the Machines,2021,7.6,81.0,108131,,114,"Animation, Adventure, Comedy            ",PG
471,Planet of the Apes,1968,8.0,79.0,180839,33.4,112,"Adventure, Sci-Fi            ",G
472,The Dirty Dozen,1967,7.7,73.0,74180,45.3,150,"Action, Adventure, War            ",Approved
473,Butch Cassidy and the Sundance Kid,1969,8.0,66.0,216473,102.31,110,"Biography, Crime, Drama            ",PG
474,The Boondock Saints,1999,7.7,44.0,239997,0.03,108,"Action, Thriller            ",R
475,Rocketry: The Nambi Effect,2022,8.8,,49113,,157,"Biography, Drama            ",
476,Klaus,2019,8.1,65.0,148689,,96,"Animation, Adventure, Comedy            ",PG
477,Donnie Brasco,1997,7.7,76.0,309111,41.91,127,"Biography, Crime, Drama            ",R
478,The Naked Gun: From the Files of Police Squad!,1988,7.6,76.0,170558,78.76,85,"Comedy, Crime            ",PG-13
479,JFK,1991,8.0,72.0,156803,70.41,189,"Drama, History, Thriller            ",R
480,Hachi: A Dog's Tale,2009,8.1,,284962,,93,"Biography, Drama, Family            ",G
481,The Cabinet of Dr. Caligari,1920,8.0,,64514,,67,"Horror, Mystery, Thriller            ",Not Rated
482,Walk the Line,2005,7.8,72.0,251907,119.52,136,"Biography, Drama, Music            ",PG-13
483,Midnight Cowboy,1969,7.8,79.0,111642,44.79,113,Drama            ,R
484,La haine,1995,8.1,,173898,0.31,98,"Crime, Drama            ",Not Rated
485,Akira,1988,8.0,67.0,186925,0.55,124,"Animation, Action, Drama            ",R
486,Stalker,1979,8.1,,134561,0.23,162,"Drama, Sci-Fi            ",Not Rated
487,Isle of Dogs,2018,7.8,82.0,169048,32.02,101,"Animation, Adventure, Comedy            ",PG-13
488,The Road Warrior,1981,7.6,77.0,181630,12.47,96,"Action, Adventure, Sci-Fi            ",R
489,Doctor Zhivago,1965,7.9,69.0,77120,111.72,197,"Drama, Romance, War            ",PG-13
490,Boyhood,2014,7.9,100.0,354832,25.38,165,Drama            ,R
491,The Fall,2006,7.8,64.0,112807,2.28,117,"Adventure, Drama, Fantasy            ",R
492,Awakenings,1990,7.8,74.0,142354,52.1,121,"Biography, Drama            ",PG-13
493,The Elephant Man,1980,8.2,78.0,241414,,124,"Biography, Drama            ",PG
494,21 Grams,2003,7.6,70.0,237746,16.29,124,"Crime, Drama, Thriller            ",R
495,Spartacus,1960,7.9,87.0,135568,30.0,197,"Adventure, Biography, Drama            ",PG-13
496,The Innocents,1961,7.8,88.0,30890,2.62,100,Horror            ,Not Rated
497,End of Watch,2012,7.6,68.0,249473,41.0,109,"Action, Adventure, Crime            ",R
498,Baahubali: The Beginning,2015,8.0,,125368,6.74,159,"Action, Drama            ",Not Rated
499,Snow White and the Seven Dwarfs,1937,7.6,95.0,200175,184.93,83,"Animation, Adventure, Family            ",Approved
500,The Bridge on the River Kwai,1957,8.2,87.0,221132,44.91,161,"Adventure, Drama, War            ",PG
501,Die Hard with a Vengeance,1995,7.6,58.0,387867,100.01,128,"Action, Adventure, Thriller            ",R
502,Captain Phillips,2013,7.8,82.0,460358,107.1,134,"Action, Biography, Crime            ",PG-13
503,The Bourne Supremacy,2004,7.7,73.0,464202,176.24,108,"Action, Mystery, Thriller            ",PG-13
504,Before Sunset,2004,8.1,90.0,264199,5.82,80,"Drama, Romance            ",R
505,Gone Baby Gone,2007,7.6,72.0,272998,20.3,114,"Crime, Drama, Mystery            ",R
506,Ben-Hur,1959,8.1,90.0,239664,74.7,212,"Adventure, Drama            ",G
507,"Blood In, Blood Out",1993,7.9,47.0,31677,4.5,180,"Crime, Drama            ",R
508,"Crouching Tiger, Hidden Dragon",2000,7.9,94.0,269860,128.08,120,"Action, Adventure, Drama            ",PG-13
509,M,1931,8.3,,158311,0.03,99,"Crime, Mystery, Thriller            ",Passed
510,Vikram,2022,8.4,,56440,,175,"Action, Thriller            ",
511,The Bourne Ultimatum,2007,8.0,85.0,634925,227.47,115,"Action, Mystery, Thriller            ",PG-13
512,Paths of Glory,1957,8.4,90.0,197563,,88,"Drama, War            ",Approved
513,Kiki's Delivery Service,1989,7.8,83.0,145214,,103,"Animation, Adventure, Family            ",G
514,After Hours,1985,7.6,90.0,70127,10.6,97,"Comedy, Crime, Drama            ",R
515,The Man from Earth,2007,7.9,,188209,,87,"Drama, Fantasy, Mystery            ",Not Rated
516,Sunset Blvd.,1950,8.4,,222049,,110,"Drama, Film-Noir            ",Passed
517,The Ten Commandments,1956,7.9,,71447,93.74,220,"Adventure, Drama, Family            ",G
518,A Separation,2011,8.3,95.0,245280,7.1,123,Drama            ,PG-13
519,Traffic,2000,7.6,86.0,208136,124.12,147,"Crime, Drama, Thriller            ",R
520,Life of Brian,1979,8.0,77.0,399791,20.05,94,Comedy            ,R
521,Chungking Express,1994,8.0,78.0,82358,0.6,102,"Comedy, Crime, Drama            ",PG-13
522,Vikram Vedha,2017,8.3,,45148,,147,"Action, Crime, Drama            ",Not Rated
523,The Searchers,1956,7.9,94.0,89941,,119,"Adventure, Drama, Western            ",Passed
524,For a Few Dollars More,1965,8.2,74.0,256910,15.0,132,Western            ,R
525,Bonnie and Clyde,1967,7.7,86.0,113702,,111,"Action, Biography, Crime            ",R
526,Fried Green Tomatoes,1991,7.7,64.0,75560,82.42,130,Drama            ,PG-13
527,The Jungle Book,1967,7.6,65.0,183728,141.84,78,"Animation, Adventure, Comedy            ",G
528,Me and Earl and the Dying Girl,2015,7.7,74.0,132442,6.74,105,"Comedy, Drama, Romance            ",PG-13
529,Lord of War,2005,7.6,62.0,318303,24.15,122,"Crime, Drama            ",R
530,Dawn of the Planet of the Apes,2014,7.6,79.0,442135,208.55,130,"Action, Adventure, Drama            ",PG-13
531,The Name of the Rose,1986,7.7,54.0,109425,7.15,130,"Drama, Mystery, Thriller            ",R
532,Freaks,1932,7.8,80.0,47018,0.63,64,"Drama, Horror            ",Not Rated
533,Dirty Harry,1971,7.7,87.0,157504,35.9,102,"Action, Crime, Thriller            ",R
534,Kung Fu Hustle,2004,7.7,78.0,140489,17.11,99,"Action, Comedy, Fantasy            ",R
535,Enter the Dragon,1973,7.6,83.0,105220,25.0,102,"Action, Crime, Drama            ",R
536,Do the Right Thing,1989,7.9,93.0,102807,27.55,120,"Comedy, Drama            ",R
537,The Seventh Seal,1957,8.1,88.0,185585,,96,"Drama, Fantasy            ",Not Rated
538,Roma,2018,7.7,96.0,158507,,135,Drama            ,R
539,The Raid: Redemption,2011,7.6,73.0,205447,4.11,101,"Action, Crime, Thriller            ",R
540,The Girl with the Dragon Tattoo,2009,7.8,76.0,217322,10.1,152,"Crime, Drama, Mystery            ",R
541,The Remains of the Day,1993,7.8,86.0,75087,22.95,134,"Drama, Romance            ",PG
542,Rebecca,1940,8.1,86.0,137738,4.36,130,"Drama, Film-Noir, Mystery            ",Approved
543,A Fistful of Dollars,1964,7.9,65.0,217970,14.5,99,"Action, Drama, Western            ",R
544,Malcolm X,1992,7.7,73.0,95239,48.17,202,"Biography, Drama, History            ",PG-13
545,Searching,2018,7.6,71.0,163159,26.02,102,"Drama, Horror, Mystery            ",PG-13
546,Amores perros,2000,8.1,83.0,240897,5.38,154,"Drama, Thriller            ",R
547,Breathless,1960,7.7,,82348,0.34,90,"Crime, Drama            ",Not Rated
548,The Wrestler,2008,7.9,80.0,306804,26.24,109,"Drama, Sport            ",R
549,The Bridges of Madison County,1995,7.6,69.0,82394,71.52,135,"Drama, Romance            ",PG-13
550,The Magnificent Seven,1960,7.7,74.0,95539,4.91,128,"Action, Adventure, Western            ",Approved
551,In the Name of the Father,1993,8.1,84.0,175493,25.01,133,"Biography, Crime, Drama            ",R
552,Eyes Without a Face,1960,7.6,90.0,32190,0.05,90,"Drama, Horror            ",Not Rated
553,Seven Pounds,2008,7.6,36.0,303612,69.95,123,Drama            ,PG-13
554,Star Trek II: The Wrath of Khan,1982,7.7,68.0,122297,78.91,113,"Action, Adventure, Sci-Fi            ",PG
555,Sling Blade,1996,8.0,84.0,94447,24.48,135,Drama            ,R
556,"Paris, Texas",1984,8.1,80.0,106730,2.18,145,Drama            ,R
557,My Fair Lady,1964,7.8,95.0,96039,72.0,170,"Drama, Family, Musical            ",G
558,Network,1976,8.1,83.0,160107,,121,Drama            ,R
559,The French Connection,1971,7.7,94.0,123602,15.63,104,"Action, Crime, Drama            ",R
560,Ikiru,1952,8.3,91.0,78804,0.06,143,Drama            ,Not Rated
561,Rushmore,1998,7.6,86.0,186316,17.11,93,"Comedy, Drama, Romance            ",R
562,A Silent Voice: The Movie,2016,8.1,78.0,81719,,130,"Animation, Drama            ",Not Rated
563,Papillon,1973,8.0,58.0,131202,53.27,151,"Biography, Crime, Drama            ",R
564,Gandhi,1982,8.1,79.0,232046,52.77,191,"Biography, Drama            ",PG
565,The Best Offer,2013,7.8,49.0,119909,0.09,131,"Crime, Drama, Mystery            ",R
566,Adaptation.,2002,7.7,83.0,193423,22.25,115,"Comedy, Drama            ",R
567,Sing Street,2016,7.9,79.0,94163,3.24,106,"Comedy, Drama, Music            ",PG-13
568,Demon Slayer the Movie: Mugen Train,2020,8.2,72.0,57681,47.7,117,"Animation, Action, Adventure            ",R
569,Glory,1989,7.8,78.0,135711,26.83,122,"Biography, Drama, History            ",R
570,The Apartment,1960,8.3,94.0,181827,18.6,125,"Comedy, Drama, Romance            ",Approved
571,All the President's Men,1976,7.9,84.0,116366,70.6,138,"Drama, History, Thriller            ",PG
572,The Vanishing,1988,7.7,,39597,,107,"Mystery, Thriller            ",Not Rated
573,How to Train Your Dragon 2,2014,7.8,77.0,335969,177.0,102,"Animation, Action, Adventure            ",PG
574,Mississippi Burning,1988,7.8,65.0,101476,34.6,128,"Crime, Drama, History            ",R
575,Before Midnight,2013,7.9,94.0,158797,8.11,109,"Drama, Romance            ",R
576,Pink Floyd: The Wall,1982,8.0,47.0,81516,22.24,95,"Drama, Fantasy, Music            ",R
577,Gaslight,1944,7.8,78.0,29700,,114,"Crime, Drama, Mystery            ",Passed
578,The Conversation,1974,7.8,87.0,112647,4.42,113,"Drama, Mystery, Thriller            ",PG
579,Witness for the Prosecution,1957,8.4,76.0,125695,8.18,116,"Crime, Drama, Mystery            ",Approved
580,Harakiri,1962,8.6,85.0,57145,,133,"Action, Drama, Mystery            ",Not Rated
581,Persona,1966,8.1,86.0,119139,,83,"Drama, Thriller            ",Not Rated
582,Ip Man,2008,8.0,59.0,224382,,106,"Action, Biography, Drama            ",R
